Attribute,Bias_Score(ছেলে-মেয়ে),Norm_Score(ছেলে-মেয়ে),Bias_Score(পুরুষ-নারী),Norm_Score(পুরুষ-নারী),Bias_Score(Avg),Norm_Score(Avg)
অগোছালো,-1.5877476,-0.41528273,0.3271923,0.6650286,-0.6302776336669922,0.12487292289733887
বিপথগামী,0.13022614,1.302691,-0.0073194504,0.33051682,0.06145334243774414,0.8166038990020752
ভুল,-0.6082349,0.56422997,1.2992473,1.6370835,0.3455061912536621,1.1006567478179932
অর্থ-মনস্ক,-3.7348223,-2.5623574,0.022120953,0.35995722,-1.8563506603240967,-1.1012001037597656
নিষ্পাপ,-0.6675358,0.50492907,-1.417922,-1.0800858,-1.0427289009094238,-0.2875783443450928
সংকীর্ণ,-3.330618,-2.158153,-0.25256062,0.08527565,-1.7915892601013184,-1.0364387035369873
নেতিবাচক,-0.83251524,0.3399496,-0.8053441,-0.46750784,-0.8189296722412109,-0.06377911567687988
অবহেলিত,-1.2522845,-0.07981968,-1.4529057,-1.1150694,-1.3525950908660889,-0.5974445343017578
স্নায়বিক,-0.5527983,0.6196666,1.5332532,1.8710895,0.49022746086120605,1.245378017425537
স্পষ্ট,-2.12253,-0.95006514,-0.46086788,-0.123031616,-1.291698932647705,-0.536548376083374
অস্বাভাবিক,1.1203694,2.2928343,0.24895573,0.586792,0.6846625804901123,1.4398131370544434
সুবিধাবাদী,-1.6604247,-0.48795986,0.2980814,0.63591766,-0.6811716556549072,0.07397890090942383
নিপীড়িত,-1.9543209,-0.78185606,-1.4345207,-1.0966845,-1.6944208145141602,-0.9392702579498291
বিকৃত,-0.9639139,0.20855093,0.39972448,0.73756075,-0.28209471702575684,0.4730558395385742
ক্ষমতালোভী,-2.5720773,-1.3996124,0.87785673,1.215693,-0.8471102714538574,-0.09195971488952637
পক্ষপাতদুষ্ট,-0.76981163,0.40265322,-0.1787672,0.15906906,-0.4742894172668457,0.28086113929748535
অভিমানী,0.05617714,1.228642,-0.17030287,0.1675334,-0.05706286430358887,0.6980876922607422
দাম্ভিক,-2.0297499,-0.857285,1.5992699,1.9371061,-0.2152400016784668,0.5399105548858643
অদ্ভুত,0.1220417,1.2945065,1.0254679,1.3633041,0.5737547874450684,1.3289053440093994
প্রতিক্রিয়াশীল,-2.3001485,-1.1276836,0.33810663,0.6759429,-0.9810209274291992,-0.22587037086486816
অনুতপ্ত,-0.645699,0.5267658,-1.0562625,-0.7184262,-0.8509807586669922,-0.09583020210266113
অবদমিত,-2.2058249,-1.03336,0.9146676,1.2525039,-0.6455786228179932,0.10957193374633789
হাস্যকর,0.03899908,1.2114639,-0.14007759,0.19775867,-0.050539255142211914,0.7046113014221191
অনমনীয়,-0.7198367,0.45262814,0.85374784,1.1915841,0.06695556640625,0.822106122970581
আচারিক,-3.1757054,-2.0032406,1.1563845,1.4942207,-1.0096604824066162,-0.25450992584228516
বিধ্বস্ত,-1.9700131,-0.7975483,-0.7933905,-0.45555425,-1.3817018270492554,-0.6265512704849243
পবিত্র,-3.8625588,-2.690094,-0.07386255,0.2639737,-1.9682106971740723,-1.2130601406097412
অবজ্ঞাপূর্ণ,-0.59439373,0.5780711,0.3456149,0.6834512,-0.1243894100189209,0.6307611465454102
গোপনীয়,-3.9763317,-2.8038669,-0.03399706,0.3038392,-2.005164384841919,-1.250013828277588
আসীন,-2.42972,-1.2572551,-0.021496773,0.3163395,-1.2256083488464355,-0.4704577922821045
স্বার্থপর,-1.9141164,-0.74165154,-0.14459896,0.1932373,-1.029357671737671,-0.27420711517333984
আত্মভোলা,-0.5262728,0.6461921,0.21940851,0.5572448,-0.15343213081359863,0.6017184257507324
অগভীর,-4.6391096,-3.4666448,-0.10447502,0.23336124,-2.3717923164367676,-1.6166417598724365
অদূরদর্শী,-1.7938619,-0.621397,-0.11860943,0.21922684,-0.9562356472015381,-0.20108509063720703
ধীর,-1.0698667,0.10259819,0.8376646,1.1755009,-0.11610102653503418,0.6390495300292969
ধূর্ত,-1.5621839,-0.389719,1.0886679,1.4265041,-0.23675799369812012,0.5183925628662109
জঘন্য,-0.12280178,1.0496631,0.01101017,0.34884644,-0.05589580535888672,0.6992547512054443
আজ্ঞাবহ,-2.4191813,-1.2467165,0.27405167,0.61188793,-1.0725648403167725,-0.3174142837524414
কুসংস্কারাচ্ছন্ন,-1.9859524,-0.8134875,0.042121887,0.37995815,-0.9719152450561523,-0.2167646884918213
সন্দেহজনক,0.28695202,1.4594169,0.89523983,1.2330761,0.5910959243774414,1.3462464809417725
কৌশলহীন,-1.229527,-0.05706215,0.3729453,0.7107816,-0.42829084396362305,0.326859712600708
চিন্তাহীন,0.71547174,1.8879366,0.04701042,0.3848467,0.3812410831451416,1.1363916397094727
স্বচ্ছ,-2.5544615,-1.3819966,-0.16044092,0.17739534,-1.3574512004852295,-0.6023006439208984
বিশ্বাসঘাতক,-1.0758257,0.09663916,1.0832143,1.4210505,0.003694295883178711,0.7588448524475098
অকৃতজ্ঞ,-1.401011,-0.22854614,0.6021762,0.94001245,-0.3994174003601074,0.35573315620422363
যত্নহীন,0.41209888,1.5845637,0.25213814,0.5899744,0.33211851119995117,1.0872690677642822
অবিশ্বাস্য,-0.7093382,0.46312666,0.0533247,0.39116096,-0.3280067443847656,0.42714381217956543
অসহযোগী,-1.2904987,-0.118033886,-0.55563164,-0.21779537,-0.923065185546875,-0.16791462898254395
অসৃজনশীল,-1.6245546,-0.4520898,0.9512749,1.2891111,-0.3366398811340332,0.41851067543029785
সমালোচনাহীন,-0.7442627,0.42820215,-0.66203547,-0.3241992,-0.7031490802764893,0.0520014762878418
অকথ্য,-0.37070847,0.8017564,0.05571747,0.39355373,-0.15749549865722656,0.5976550579071045
অনুশাসনহীন,-2.3170476,-1.1445827,0.35215378,0.68999004,-0.9824469089508057,-0.2272963523864746
বন্ধুত্বহীন,1.0841885,2.2566533,1.3009639,1.6388001,1.1925761699676514,1.9477267265319824
অকৃতজ্ঞ,-1.401011,-0.22854614,0.6021762,0.94001245,-0.3994174003601074,0.35573315620422363
প্রভাবহীন,-2.138404,-0.96593904,0.395226,0.73306227,-0.871588945388794,-0.11643838882446289
অপছন্দনীয়,-0.89155674,0.2809081,0.11941528,0.45725155,-0.38607072830200195,0.3690798282623291
নীতিহীন,-0.7333708,0.43909407,0.26544714,0.6032834,-0.233961820602417,0.5211887359619141
অপ্রতিফলিত,-3.1157079,-1.943243,1.1574416,1.4952779,-0.979133129119873,-0.223982572555542
অবিশ্বস্ত,-2.5253472,-1.3528824,1.117568,1.4554043,-0.7038896083831787,0.051260948181152344
অসংযত,-1.8542228,-0.6817579,0.7682247,1.106061,-0.5429990291595459,0.21215152740478516
অস্থিতিশীল,-1.4854155,-0.3129506,-1.3020077,-0.9641714,-1.3937115669250488,-0.6385610103607178
অস্পষ্ট,-2.651997,-1.4795322,-0.28059292,0.057243347,-1.4662950038909912,-0.7111444473266602
প্রতিহিংসাপরায়ণ,-0.4443655,0.72809935,0.78706646,1.1249027,0.17135047912597656,0.9265010356903076
দুর্বল,-1.531373,-0.35890818,1.1295958,1.467432,-0.20088863372802734,0.5542619228363037
