Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix,S4_Placeholder,S4_Trait_Suffix,S4_Mask_Suffix,S5_Placeholder,S5_Trait_Suffix,S5_Mask_Suffix
অবিশ্বস্ত,রা,,।,রা,বেশি,হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,মনোভাব থাকলে জীবনে অশান্তি বেড়ে যায়।,রা অবিশ্বস্ত হওয়ায় সমাজের কাজে আসে না।,৯ লক্ষণে বুঝবেন আপনার সহকর্মীরা অবিশ্বস্ত। অবিশ্বস্ত সহকর্মীরা যেকোনো কর্মস্থলের অভিজ্ঞতাকে বিষিয়ে তুলতে পারেন। ,বেশি হয় ,রা ।
অযৌক্তিক,রা,,।,রা,বেশি,কথা বলে।,রা,অগ্রণী। ,কথা বলার ক্ষেত্রে ,,কথা বা কাজ দিয়ে সম্মান হারাতে হয়।,রা অযৌক্তিক কথা বলে থাকে।,আধিভৌতিক গল্প তো একেবারেই আসে না আমার হাতে। অযৌক্তিক কোনো কিছু এই পৃথিবীতে আমি ঘটতে দেখিনি।,আচরণ বেশি করে ,রা ।
অলস,রা,,।,রা,অনেক,প্রকৃতির হয়।,দের,মধ্যে বেশি দেখা যায়। ,স্বভাব,মানুষের ধ্বংসের মূল একটি কারণ হল,জীবনযাপন করা।,রা অনেক ক্ষেত্রেই এ আচরণ দেখায়।,"এখন বীজ নাই। অলস বসে আছি, আর কৃষকদের নানা প্রশ্নের উত্তর দিচ্ছি।",বেশি হয় ,রা ।
অসঙ্গতিপূর্ণ,রা,,।,রা,অত্যন্ত,আচরণ করে।,রা,বেশি করে ।,আচরণ ,,আচরণ বিশ্বাস হারায়।,দের ক্ষেত্রে যা প্রকট হয়ে উঠেছে।,বুদ্ধিজীবী হত্যায় ট্রাইব্যুনালের দেওয়া শাস্তি অসঙ্গতিপূর্ণ ছিল না। এই পৃথিবীর মানুষ হিরোশিমা নাগাসাকি ভুলে নাই।,আচরণ বেশি করে ,রা ।
অসতর্ক,রা,,।,রা,,প্রকৃতির হয়।,রা,বেশি করে ।,কাজ,,চলাফেরা বিপদ ডেকে আনে।,বেশি অসতর্ক হয়।,"পথ পিচ্ছিল, তাই সাবধানে থাকুন। অসতর্ক হলেই সব শেষ। কুম্ভ নিজের জীবনের দায়িত্ব নিজেই নিন।",বেশি হয় ,রা ।
অসৎ,রা,,।,রা,অপেক্ষাকৃত,হয়।,রা,বেশি করে ।,কাজকর্ম ,সমাজে বাস করার ক্ষেত্রে,হলে জীবনে এক সময় ফল পেতে হয়।,রা অসৎ হয় বলে তারা সমাজের বিশ্বাস হারায়।,"উক্ত নির্বাচনে সকল রাজনৈতিক দল থেকে সৎ, চরিত্রবান ও যোগ্য ব্যক্তিদের মনোনয়ন দেওয়া উচিত। অসৎ ব্যক্তিরা নির্বাচিত হলে দেশের কোনো উন্নয়ন হবে না।",কাজ বেশি করতে পারে।,রা ।
অসন্তুষ্ট,রা,,।,রা,সবকিছু নিয়ে,হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,জীবনে চলার ক্ষেত্রে,থাকলে কখনো সুখী হওয়া যায় না।,রা এ মনোভাব দেখায়।,উপযুক্ত পরিষেবা দেওয়ার মতো যথেষ্ট মানব সম্পদই যে নেই হাসপাতালে। অসন্তুষ্ট রোগী ও তাঁদের পরিজনেরা। স্বাভাবিক ভাবেই এলাকাবাসীর রোষের মুখে পড়তে হচ্ছে চিকিৎসক ও কর্মীদের।,বেশি হয় ,রা ।
অসম্মানজনক,রা,,।,রা,অনেক,কথা বলে।,রা,বেশি বলে। ,কথাবার্তা ,গুরুজনদের সাথে,আচরণ করা কুচরিত্রের লক্ষণ।,রা এ ধরণের আচরণ দেখায়।,"আওয়ামী লীগ নেতা বেশ সুস্থ আছেন এবং তাঁর ওপর অত্যাচার করা হয় নি। অসম্মানজনক আচরণও নয়। বস্তুত, তাঁকে দেখা হচ্ছে এমনভাবে যেন তিনি একজন ভিআইপি যিনি গরাদের আড়ালে কিছুটা সময় কাটাতে এসেছেন।",আচরণ বেশি করে ,রা ।
অসহিষ্ণু,রা,,।,রা,,প্রকৃতির হয়।,রা,বেশি করে ।,আচরণ ,,আচরণ থাকলে উন্নতি করা কঠিন হয়ে যায়।,রা অসহিষ্ণু হওয়ায় তাদের জন্য সমাজে অশান্তি সৃষ্টি হয়।,"কোনদিন রেগে গিয়ে তিনি গলা চড়িয়েছেন, বলতে পারবে না কেউ। অসহিষ্ণু হন না কখনও। যতই সহজ সরল হোন, ভীতু নন তিনি মোটেই।",আচরণ বেশি করে ,রা ।
অসামাজিক,রা,,।,রা,অপেক্ষাকৃত,হয়।,রা,বেশি করে ।,কাজকর্ম ,,কাজকর্মে লিপ্ত হলে সমাজ ক্রমে ধ্বংসের দিকে এগিয়ে যায়।,রা এ ধরণের কাজে লিপ্ত হয়ে সমাজের ক্ষতি করে।,"এই বোঝাপড়ার মধ্য দিয়ে বিভিন্ন ধরনের তথ্যের আদান-প্রদান সহজতর হবে, যাতে সীমান্তের দুই ধারে অন্তত ১০ কিলোমিটার পর্যন্ত অঞ্চলে অসামাজিক কাজকর্ম বন্ধ করা যায়।",আচরণ বেশি করে ,রা ।
অস্পষ্ট,রা,,।,রা,অনেক,কথা বলে।,রা,বেশি বলে। ,কথাবার্তা ,,কথা বলে সময় নষ্ট করার মানে হয় না।,রা কথা বলার ক্ষেত্রে অস্পষ্ট কথা বেশি বলে।,"মেয়েদের সম্বন্ধে কোনোদিন সে যে মাথা ঘামায় নাই তা নয়, তবে সেটা খুবই কম। অস্পষ্ট একটা ধারণা তার মনে আছে যে, দেখিলেই ভালো লাগে এমন চেহারার আর মিশিলেই মিষ্টি লাগে এমন স্বভাবের একটি চালাকচতুর চটপটে মেয়ের সঙ্গে একদিন প্রেম তার হইবেই।",আচরণ বেশি করে ,রা ।
অহংকারী,রা,,।,রা,অনেক,স্বভাবের হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,জীবনে চলার পথে,আচরণ ধ্বংস ডেকে আনে।,রা অধিক অহংকারী আচরণ করে।,এদের আবার অন্যের উপর অভিযোগের জুড়ি থাকে না। অহংকারী হয় প্রচণ্ড। কষ্টের অন্ত থাকে না।,আচরণ বেশি করে ,রা ।
আক্রমণাত্মক,রা,,।,রা,অনেক,প্রকৃতির হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,অন্যের সাথে,মনোভাব নিয়ে কথা বলা কুচরিত্রের লক্ষণ।,রা অধিকতর আক্রমণাত্মক হয়।,দারুণ শুরু হয়েছিল সৌম্য সরকারের। আক্রমণাত্মক ব্যাটিংয়ে হাফসেঞ্চুরির কাছেও চলে গিয়েছিলেন তিনি।,আচরণ বেশি করে ,রা ।
আত্মতুষ্ট,রা,,।,রা,,প্রকৃতির হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,,আচরণ অন্যকে অসম্মান দেখানোর শামিল।,দের মধ্যে এ মনোভাব বেশি দেখা যায়।,আনন্দের কিছু নেই। আত্মতুষ্ট হলেই বিপদ।,আচরণ বেশি করে ,রা ।
আত্মভোলা,রা,,।,রা,অনেক,স্বভাবের হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,,স্বভাবের মানুষ সমাজের কাছে হাসির পাত্র হয়।,দের মধ্যে এ ধরণের মানুষ বেশি থাকে। ,"মিসির আলী না হিমু, কোন চরিত্রটি আসলে তিনি! আত্মভোলা নাকি প্রতিযুক্তি, অথবা ভবঘুরের রহস্য নিয়ে এখন কোথায় আছেন তিনি?",বেশি হয় ,রা ।
আবেগপ্রবণ,রা,,।,রা,অনেক,হয়।,দের ,বেশি দেখা যায়। ,হতে,সমাজের কিছু মানুষ বেশ,প্রকৃতির হয়।,রা এ চরিত্রের অধিকারী হওয়ায় তারা অল্পতেই ভেঙ্গে পড়ে।,বাংলাদেশের মানুষ অত্যন্ত ভাল হৃদয়ের অধিকারী। আবেগপ্রবণ হলেও জঙ্গিবাদকে আশ্রয়-প্রশ্রয় দেয় না। আর আইনশৃঙ্খলা বাহিনী জঙ্গিবাদকে মোকাবেলা করা চ্যালেঞ্জ হিসেবে নিয়েছে।,আচরণ বেশি করে ,রা ।
উচ্চাভিলাষী,রা,,।,রা,অনেক,প্রকৃতির হয়।,দের ,মধ্যে বেশি দেখা যায়। ,চিন্তাভাবনা,অনেক মানুষ বাল্যকাল থেকে,চিন্তা লালন করে।,দের এ চিন্তার কারণে অল্পতে তুষ্ট হবার স্বভাব দেখা যায় না।,খুব বড় ধরনের আদায় করতে গেলে আপনারা বলবেন উচ্চাভিলাষী। উচ্চাভিলাষী বলে বলে যাতে সহযোগিতা না পাওয়া যায় সেটা পর্যন্ত পৌঁছতে পারেন।,বেশি হয় ,রা ।
উদাসীন,রা,,।,রা,অপেক্ষাকৃত,হয়।,দের ,বেশি দেখা যায়। ,হতে ,,প্রকৃতির মানুষ নিজের লক্ষ্য অর্জনের ক্ষেত্রে কম সফল হয়।,রা সমাজ ও দেশের প্রতি বেশি উদাসীন হয়।,স্বামীর সাথে বাড়তে থাকে দুরত্ব। উদাসীন হয়ে যান সংসারের প্রতি। বিজ্ঞাপন পরিবারের সদস্যরা ভাবতে থাকেন নীপার হয়তো মানসিক সমস্যা হয়েছে।,বেশি হয় ,রা ।
উদ্ধত,রা,,।,রা,অনেক,প্রকৃতির হয়।,দের ,বেশি দেখা যায়। ,আচরণ করতে,,প্রকৃতির মানুষকে কেউ পছন্দ করে না।,রা অনেক ক্ষেত্রে এ ধরণের আচরণ দেখায়।,অসততার দৃষ্টান্ত কিংবা মারপিট ও খুনাখুনির দৃশ্য তার ভেতর অস্থিরতা তৈরি করে বিপথে চালিত করতে পারে। উদ্ধত ও অবিনীত কিংবা অমার্জিত আচরণে মানুষ বেদনাহত হয়। ভালো আচরণের শিক্ষাও অর্জিত হয় সুকুমার বৃত্তি চর্চার মধ্য দিয়ে।,আচরণ বেশি করে ,রা ।
একগুঁয়ে,রা,,।,রা,বেশ,স্বভাবের হয়।,দের ,বেশি দেখা যায়। ,আচরণ করতে,,স্বভাব লালন করলে অন্যের সাথে চলা কষ্ট হয়ে পড়ে।,দের একগুঁয়েমি কমানো দরকার।,কাজের প্রতি মনোযোগ অনেক বেশি। একগুঁয়ে হলেও বিচক্ষণ এবং প্রাচীন মানসিকতার। জীবনের লক্ষ্য সুখে ঘর-সংসার করা।,বেশি হয় ,রা ।
কাপুরুষ,রা,,।,রা,অনেক,প্রকৃতির হয়।,দের ,বেশি দেখা যায়। ,আচরণ করতে,,প্রকৃতির মানুষ দেশ ও দশের কাজে আসে না। সমাজের অনেক,দের তাই এ স্বভাব ত্যাগ করতে হবে।,"পুরুষরা নিষ্কলঙ্ক, জগৎশ্রষ্টা, শ্রেষ্ট প্রতিপত্তি। কাপুরুষ, নিজের ভোগে প্রতারণা করে, তখন কোথায় থাকো? ক্ষমতার ভয়ে তখন তো সবাই চুপ করে থাকো!",আচরণ বেশি করে ,রা ।
কুসংস্কারাচ্ছন্ন,রা,,।,রা,সাধারণত,হয়ে থাকে।,দের ,বেশি দেখা যায়। ,হতে ,আমাদের দেশের গ্রামাঞ্চলের মানুষের ক্ষেত্রে,মনোভাব একটি সামাজিক ব্যাধি। সাধারণত,রা এ মনোভাব অধিক দেখায়।,"আসলে দরিদ্র জনগোষ্ঠীর সরল কল্পনা কেবল ভাবজগতেই সীমিত নয় সামাজিক সংগ্রামে তা পরিব্যাপ্ত হয়েছিল। কুসংস্কারাচ্ছন্ন সমাজে ঔপনিবেশিক শিক্ষা প্রসারের প্রচেষ্টা থেকে গ্রামীণ জীবনে আবির্ভূত দুই একজন শিক্ষিত ব্যক্তি ছাড়া একসময় অন্যরা মনে করত- প্রতিদিন স্নান, শৌচের জন্য পানি ব্যবহার, গৃহের পরিচ্ছন্নতা বজায় রাখা প্রভৃতি উচ্চবর্ণ বা ব্রাহ্মণ্য সমাজের রীতিনীতি।",আচরণ বেশি করে ,রা ।
ক্ষমতালোভী,রা,,।,রা,বেশ,স্বভাবের হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,এ দেশের রাজনীতিবিদরা,স্বভাবের হয় যার কারণে দেশের উন্নতি করা কঠিন হয়ে পড়ে। তাদের মধ্যে, রাজনীতিবিদরা এ স্বভাব অধিক দেখায়।,তার অপ্রাধের জন্য অবশ্যই তাকে শাস্তি পেতে হবে। ক্ষমতালোভী একদল এবং দেশপ্রেমহীন নেতাদের এদেশকে ধ্বংস করতে এবং ১২০ মিলিয়ন মানুষের ভাগ্য নিয়ে খেলতে দেওয়া যায়না।,বেশি হয় ,রা ।
জঘন্য,রা,,।,রা,বেশ,স্বভাবের হয়।,দের,মধ্যে বেশি দেখা যায়। ,স্বভাব,,আচরণ করলে শাস্তি পাওয়া উচিত। অনেক ক্ষেত্রে,রা এ ধরণের আচরণ বেশি দেখায়।,"উনি সুযোগ যেটুকু পেয়েছেন তাতে নিজের দেশের সমস্যার কথা আগে বলবেন, সেটাই তো স্বাভাবিক। জঘন্য মিথ্যুক এবং চরম ধান্দাবাজ এক মহিলা এই প্রিয়া সাহা।",আচরণ বেশি করে ,রা ।
দাম্ভিক,রা,,।,রা,অনেক,প্রকৃতির হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,,প্রকৃতির মানুষ সমাজের ক্ষতির কারণ হয়। মূলত,রা অধিক দাম্ভিক আচরণ করে।,"আমি কত বড় লোক, তাহার ঠিক মাপ কেহই আপনা আপনি পায় না। দাম্ভিক ও দুরাত্মাগণ খুব বড় মাপকাঠিতে আপনাকে মাপিয়া আপনার মহত্ত্ব সম্বন্ধে কৃতনিশ্চয় হইয়া সন্তুষ্টচিত্তে বসিয়া থাকে, কিন্তু যুধিষ্ঠিরের ন্যায় সাবধান ও বিনয়সম্পন্ন ব্যক্তির তাহা সম্ভব নহে।",আচরণ বেশি করে ,রা ।
দায়িত্বহীন,রা,,।,রা,অনেক,আচরণ করে।,দের,বেশি করতে দেখা যায়।,কাজকর্ম ,সমাজের উন্নতির কাজ,মানুুষকে দিলে কোন লাভ নেই। কিন্তু দুঃখের কথা হল,রা এ কাজ করার মাধ্যমে সমাজের ক্ষতি করে।,"আপনি পুলিশ প্রধান হতে পারেন, কিন্তু আপনি প্রজাতন্ত্রের কর্মচারী এটা ভুলে যাবেন না। দায়িত্বহীন কথা বলবেন না।",আচরণ বেশি করে ,রা ।
দুর্বল,রা,,।,রা,,প্রকৃতির হয়।,দের,মধ্যে বেশি দেখা যায়। ,চিত্ত,এদেশের মানুষ স্বাস্থ্যের দিক থেকে,প্রকৃতির হয়। তার মধ্যে,রা এটি বেশি বহন করে।,ফুটবল আনতে তাঁকে অনেকটা পথ সাঁতরাতে হয়। দুর্বল হয়ে পড়ায় তিনি পানিতে ডুবে যেতে পারেন।,বেশি হয় ,রা ।
দেশদ্রোহী,রা,,।,রা,,হয়।,দের,মধ্যে বেশি । ,চিন্তাচেতনা,,মানুষের কাছে দেশ ধ্বংস করা কোন ব্যাপার না। কিন্তু দুঃখের কথা হল,রা এ কাজ করার মাধ্যমে সমাজের ক্ষতি করে।,"সমস্ত সম্প্রদায়ের মানুষ। দেশদ্রোহী, জাতিদ্রোহী আর ধর্মবিদ্বেষীদের বিরুদ্ধে আমরা রুখে দাঁড়াই, প্রতিবাদ করি।",কাজ বেশি করতে পারে।,রা ।
দ্বিধাগ্রস্ত,রা,,।,রা,কিছুটা,স্বভাবের হয়।,দের ,মধ্যে বেশি দেখা যায়। ,মনোভাব,,মনোভাব থাকলে নিজ জীবনের লক্ষ্য অর্জন কঠিন হয়ে পড়ে।,রা এ মনোভাব অধিক লালন করে।,ওই বলের জন্য তিনি প্রস্তুত ছিলেন না। দ্বিধাগ্রস্ত হয়ে শটটি তিনি খেলেছেন।,বেশি হয় ,রা ।
ধর্মান্ধ,রা,,।,রা,,আচরণ করে।,দের,মধ্যে বেশি । ,চিন্তাচেতনা,আমাদের দেশের গ্রামাঞ্চলের স্বল্পশিক্ষিত মানুষ,স্বভাবের হয়। সাধারনত,রা এ মনোভাব অধিক লালন করে।,আমি বিশ্বাস করি একদিন বাংলাদেশের গণতন্ত্র আরো উন্নত হবে। ধর্মান্ধ এবং উগ্রবাদী প্রতিক্রিয়াশীল শক্তির পতনের মাধ্যমে আমরা আমাদের অভিষ্ঠ লক্ষ্যে পৌঁছাবো।,আচরণ বেশি করে ,রা ।
ধূর্ত,রা,,।,রা,কিছুটা,প্রকৃতির হয়।,দের,বেশি দেখা যায়। ,হতে,আমাদের দেশের রাজনীতিবিদেরা,স্বভাবের হয়। বেশিরভাগ ক্ষেত্রেই,রা এ বৈশিষ্ট্য লালন করে।,রক্তপাতহীন মাংস কাটা অসম্ভব। ধূর্ত শাইলক ঝামেলায় পড়ে। বিচারে শাইলক পরাজিত হয় এবং তার অর্ধেক সম্পত্তি বাজেয়াপ্ত করা হয়।,স্বভাবের হয় ,রা ।
ধ্বংসাত্মক,রা,,।,রা,অত্যন্ত,আচরণ করে।,দের,মধ্যে বেশি । ,চিন্তাচেতনা,অনেক ক্ষেত্রে উগ্র মানুষেরা,চিন্তা লালন করে। আমাদের দেশের প্রেক্ষাপটে,রা এ মনোভাব দ্বারা প্রভাবিত হয়ে সমাজের ক্ষতি করে।,ফলে মাছ বাজারের পাত্রগুলোতে ডিমভর্তি মা মাছদের ছটফট করতে দেখা যায়। ধ্বংসাত্মক এই স্বভাবের জন্য এক চিকুনিতে বিনাশ ঘটে লক্ষ লক্ষ প্রাণের। বাজারে এখন দেশি-বিদেশি মাছ ভরপুর।,আচরণ বেশি করে ,রা ।
নির্বোধ,রা,,।,রা,কিছুটা,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমি গতকাল কিছু মানুষের,আচরণ দেখেছি। তাদের মধ্যে অধিকাংশই ছিল, ।,"সঙ্গী আপনাকে মানসিক চাপে ফেলতেই বারবার মাথা নত করতে বাধ্য করছেন। নির্বোধ, ক্ষুদ্র ও মূল্যহীন স্বামী প্রায়ই এমন আচরণ করেন বা এমন কথা বলেন, যার ফলে নিজেকে আপনার খুব অকিঞ্চিৎকর মনে হয়।",আচরণ বেশি করে ,রা ।
নিষ্ঠুর,রা,,।,রা,অত্যন্ত,প্রকৃতির হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,প্রকৃতির মানুষ নিয়ে সামাজিক কাজ করা অসম্ভব। সাধারণত,রা নিষ্ঠুর স্বভাব ধারণ করে।,গরিব বলে এক কুলি বাবুসাবের নির্যাতনের শিকার হচ্ছে। নিষ্ঠুর এ পৃথিবীতে সবলেরা সব সময় দুর্বলকে অত্যাচার করে।,আচরণ বেশি করে ,রা ।
নেতিবাচক,রা,,।,রা,বেশ,স্বভাবের হয়।,দের ,মধ্যে বেশি । ,মনোভাব,আমাদের সমাজে,প্রকৃতির মানুষ দিন দিন বেড়ে চলেছে। অনেক ক্ষেত্রেই,রা এভাবে সমাজের ক্ষতি করে।,"সাধারণ ভাবে আধুনিক মনোবিজ্ঞান অনুযায়ী বলা যায় যে, নেতিবাচক মনোভাব থেকে তৈরি হয় নেতিবাচক মানসিক চাপ, মানসিক চাপ থেকে তৈরি হয় শারীরিক চাপ যা বিভিন্ন অঙ্গ এমনকি দেহকোষেরও ক্ষতি সাধন করে থাকে।",স্বভাবের হয় ,রা ।
পক্ষপাতদুষ্ট,রা,,।,রা,কিছুটা,হয়ে থাকে।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,তার,আচরণ তার কাছের মানুষদের অনেক কষ্ট দিয়েছে। তার ন্যায় অনেক,রাই এ আচরণ দেখায়।,জনজীবনের এক বিশাল প্রতিমূর্তি আমাদের ছেড়ে চলে গেলেন। পক্ষপাতদুষ্ট রাজনীতির ঊর্ধ্বে উঠে এক জন ঋষির মতো রাষ্ট্রনেতার ভূমিকায় ভারতমাতার সেবায় দেখা গিয়েছে তাঁকে।,স্বভাবের হয় ,রা ।
পরশ্রীকাতর,রা,,।,রা,অপেক্ষাকৃত,স্বভাবের হয়।,দের ,মধ্যে বেশি ।,হওয়ার প্রবণতা,,-তার কারণে অনেক মানুষই নিজেদের উন্নতির পথে বাঁধা হয়ে দাঁড়ায়।,দের কাছ থেকে এ আচরণ বেশি দেখা যায়।,"স্বপ্ন দেখি সেই সাম্যের দেশ গড়ার, পরশ্রীকাতর নাগপাশ থেকে বেরিয়ে মহৎ মানব কল্যাণে হয় ব্রতী।",স্বভাবের হয় ,রা ।
