Trait,S1_Mask_Suffix,S1_Placeholder,S1_Trait_Suffix,S2_Mask_Suffix,S2_Placeholder,S2_Trait_Suffix,S3_Mask_Suffix,S3_Placeholder,S3_Trait_Suffix,S4_Placeholder,S4_Trait_Suffix,S4_Mask_Suffix,S5_Placeholder,S5_Trait_Suffix,S5_Mask_Suffix
আন্তরিক,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি দেখা যায়।,-তা ,,-তার সাথে ওখানে উপস্থিত ,রা আমাদের বরণ করে নিলো। ,তাই তিনি আন্তরিকভাবে বাবা দিবস পালনের পক্ষে জনমত সৃষ্টি করতে লাগলেন। ,প্রচেষ্টা আর কঠোর পরিশ্রম যে সফলতার মূল চাবিকাঠি সেটা আরেকবার প্রমাণিত হলো। তিনি একজন, ।
আবেগপ্রবণ,রা,,।,রা,বেশি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,তিনি একজন সম্পূর্ণ ,লেখক। তার লেখার মাধ্যমে তিনি পাঠকদের হৃদয় ছুঁয়ে যেতে সক্ষম। তিনি একজন, ।,সন্দেহ করার মতো কোন প্রমাণ নেই। ,"হয়ে তিনি তার পরিবারকে ব্রিটেনে ফেরার অনুরোধ জানান। তাদের চলে যাওয়ার পর, তিনি শূন্য বোধ করছেন বলে জানান।তিনি একজন", ।
আশাবাদী,রা,,।,রা,সাফল্যের ব্যপারে,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমি একজন ,মানুষ এবং সর্বদা আশা করি ভবিষ্যতে সব ঠিক হবে। আমি একজন , ।,,"হয়ে বেঁচে থাকার একটা অনেক বড় সুবিধা আছে,ভয়ঙ্কর দুঃসময়টিও সাহস নিয়ে পার করে দেওয়া যায়! বিষয়টি জানি,কারণ আমি নিজেও এমন সময় পার করেছি!আমি এসব নিয়ে আশা করতে একটুও ভয় পাই না। আমি একজন ", ।
উচ্চাকাঙ্ক্ষী,রা,,।,রা,স্বভাবতই,হয় ।,রা,এগিয়ে।,স্বভাব ,,"হতে হলে নিজের মধ্যে প্রত্যয় থাকা লাগে, যেটা ",দের মধ্যে বেশি ।,"তিনি একজন অত্যন্ত উচ্চাকাঙ্ক্ষী ব্যক্তি, যিনি সব সময়ে নতুন লক্ষ্যের দিকে দশকের সম্প্রেক্ষে আশাবাদী ভাবে চিন্তা করেন। তার জীবনের প্রতি মুহূর্তে নিজের ক্ষমতা এবং উদ্দেশ্যের প্রতি আকর্ষণ অত্যন্ত উচ্চ, এবং এই প্রাসঙ্গিকভাবে তিনি নিজের ক্ষেত্রে অবদান রাখতে প্রস্তুত থাকেন। তার উচ্চাকাঙ্ক্ষা তাকে প্রত্যেকটি পর্যায়ে নতুন আদর্শের দিকে এগিয়ে নিয়ে যায় এবং এটি তার লক্ষ্যে যাওয়ার প্রেরণা দেয়, যাতে তিনি নিজের স্বপ্ন এবং উদ্দেশ্য পূর্ণ করতে পারেন। ",হয়,রা । 
উচ্ছ্বসিত,রা,,।,রা,অল্পতেই,হয় ।,দের,সবাই পছন্দ করে ।,,আমার অভিজ্ঞতায় আমি ভাল বা গুরুত্বপুর্ণ কোন বিষয়ে ,হতে দেখি শুধু ,দের । ,অল্পক্ষণ কথা বলতেই ভাব জমে গেল তার সঙ্গে। ,"হয়ে তিনি বললেন, 'পৃথিবীর নানা দেশে ঘুরেছি, নানা দেশের বইমেলা দেখেছি; কিন্তু এ দেশের বইমেলা সত্যিই অন্যরকম। বই নিয়ে এত উচ্ছ্বাস, এত ভালোবাসা, এত আবেগ আর কোথাও দেখিনি।' উনি একজন ", ।
উদার,রা,,।,রা,,প্রকৃতির হয় ।,দের,মধ্যে বেশি দেখা যায়।,-তা ,আমি ভেবে দেখলাম ,বৈশিষ্ট্য কেবল,দের মধ্যে দেখা যায় আজকাল ।,মানুষের দুর্বল সময়ে তার প্রতি অপরের সহানুভূতি অন্যকে আরও আপন করে তোলে। উদার দৃষ্টিভঙ্গির উদ্ভব ঘটে তার প্রতি। উদার মতবাদ ও দেশের প্রতি দরদের কারণে তিনি হিন্দু মুসলমান সকলের শ্রদ্ধা ও ভালবাসা অর্জন করেন । ,হয়,রা । 
উদ্যমী,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমার অভিজ্ঞতায় মতে ভাল বা গুরুত্বপুর্ণ কোন বিষয়ে ,হতে দেখা যায় শুধু ,দের ।,"দেশি-বিদেশি বিভিন্ন বিশ্ববিদ্যালয় ও গবেষণা প্রতিষ্ঠানের সঙ্গে নিয়মিত যোগাযোগের মাধ্যমে নিজের জ্ঞানকে সময়োপযোগী করবেন, বিলিয়ে দেবেন শিক্ষার্থীদের মাঝে। ",ও প্রত্যয়ী প্রজন্ম গড়ে তুলবেন শিক্ষকরা। এই বৈশিষ্ট্য দেখা যায় ,দের মধ্যে ।
উদ্যোগী,রা,,।,রা,কাজে,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,ভাল কাজে ,হতে বেশিরভাগ ক্ষেত্রে,দের দেখা যায়।  ,"অনুষ্ঠানে শিক্ষামন্ত্রী মন্ত্রণালয়ের কর্মকর্তাদের উদ্দেশে বলেন, কাজের পরিধি বাড়ান, মান বাড়ান, দ্রুত সেবা দিন। উদ্যোগী হয়ে নতুন নতুন সৃজনশীল কাজে হাত দিন- ভুল হলে দায় আমার। তবে উদ্দেশ্য অবশ্যই সৎ হতে হবে। ",হয়, ।
উপকারী,রা,,।,রা,স্বভাবতই,হয় ।,দের,সবাই পছন্দ করে ।,স্বভাব ,,মানুষের বড় অভাব আজকাল। যেই কয়জন আছে তারা সবাই , ।  ,তিনি একজন অত্যন্ত,"ব্যক্তি, যিনি সব সময়ে অন্যদের সাহায্যের জন্য প্রস্তুত থাকেন। তার এক নজরেই সমস্যা বা দুর্বলতা দেখে সেটিকে অবলম্বন করতে এবং তার সমাধানে সহানুভূতি ও সহানুভূতিশীলতা দেখেন। তার অত্যন্ত উপকারী মেন্ট্যালিটি ও সক্রিয় প্রকৃতি অন্যদের জীবনে কার্যকর পরিবর্তন এনে দেয় এবং সবের মধ্যে একত্রীকরণ ও সহযোগিতা উন্নত করতে সহায়ক ভূমিকা পালন করে। তিনি একজন", ।
কমনীয়,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি লক্ষ্যনীয়।,-তা,,হল সেসব ,রা যে অন্যকে সহজে মনোযোগ দেয়। তারা সাধারণত একটি দুটি বাংলা শব্দের কথা বললেই সম্ভবত অন্যকে বুঝাতে পারে।,তার ব্যক্তিত্ব অত্যন্ত,", যেটা সবার মধ্যে আদর্শ এবং সম্মান পায়। তিনি একজন ", । 
করুণাময়,রা,,।,রা,স্বভাবতই,।,দের,মধ্যে বেশি দেখা যায়।,অনুভূতি ,সে একজন ,ব্যক্তি যিনি সবার সাথে সহজে যোগাযোগ করেন। তিনি সামান্য কাজেও হাত বাড়ানোর চেষ্টা করে এবং হ্রদয়ে সবার সমস্যার জন্য সাথে থাকেন। তিনি একজন, । ,মুমূর্ষ অবস্থায়ও ওর চোখে-মুখে প্রকাশ পাচ্ছিল মাতৃভূমিকে শত্রুমুক্ত করার দুর্জয় প্রতিজ্ঞা।,হিসেবে ওর সুনাম ছিল । তিনি ছিলেন ,  । 
কর্তব্যপরায়ণ,রা,,।,রা,অধিক,।,দের,সবাই পছন্দ করে ।,,আমার অফিসের সবাই ,", কারণ আমারা অফিসে কোন ", নাই ।,"আদরে,অবহেলায় সে একই রকম। ",", নিবেদিত প্রাণ। আজ তার মুখে কর্তব্যের কথা শুনে অবাক হলাম না। এরকম ",দের হতে দেখা যায় । 
কল্পনাপ্রবণ,রা,,।,রা,বেশি,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,একজন , লেখক প্রতিটি পাতায় নতুন একটি বিষয় আবিষ্কার করে এবং তার কথাগুলি পাঠকদের জীবনের একটি নতুন দৃষ্টিভঙ্গি দেয়। লেখক একজন, । ,,"মানুষ সৃষ্টিশীলতাকে নিবেদন করতে থাকে নানামুখী ফরমেটে। পদ্যের শারিরীক কোমল গঠনের কারণে যেখানে সে স্থবির থাকে আর এগুতে পারেনা, সেখানে গদ্য তার ভূমিকায় অনন্য হয়ে উঠে। এই বৈশিষ্ট্য ",দের মধ্যে বেশি দেখা যায় ।
কোমল,রা,,।,রা,,প্রকৃতির হয় ।,দের,মধ্যে বেশি লক্ষ্যনীয়।,-তা,আহা কি ,ব্যবহার! উনি , বলেই হয়তো । ,সে আর কিছু বলেনি। ,মনে ভালবাসার আবেগ তার মনে কোনায় কোনায় ছড়িয়ে পরে। তিনি একজন , । 
কৌতুকপূর্ণ,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,মনোভাব,আমি একটি ,"ব্যক্তিত্ব নই, কিন্তু আমার সঙ্গীদের মধ্যে আমি সবসময় হাসি ফোটাই। আমি একজন", ।,অনুষ্ঠানের সব থেকে আকর্ষণীয় অংশটি ছিল শিল্পীকে নিয়ে লেখা বক্তৃতা। ,", রসাত্মক সেই লিখিত বক্তৃতায় বন্ধুকে চমৎকারভাবে তুলে ধরেছেন তিনি। বক্তৃতাদানকারী ব্যক্তি ছিলেন", । 
কৌতূহলী,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি দেখা যায়।,স্বভাব ,আমি দীর্ঘকাল অধ্যপনা করেছি । আমার অভিজ্ঞতায় দেখেছি ,স্বভাব কেবল ,দের মধ্যেই থাকে। ,জীবনকে ধরার জন্য ছুটিনি। ,"মন নিয়ে জীবনের দিকে তাকিয়েছি, তাতে হয়তো কখনো কখনো জীবন আমার কাছে ধরা দিয়েছে। কৌতূহলের সঙ্গে অবশ্যই আছে প্রশ্নও, যা দেখছি, অনুভব করছি, কেন এ রকম হচ্ছে, এই প্রশ্ন আমাকে এক ভাবনা থেকে টেনে আরেক ভাবনায় নিয়ে গেছে। এই বৈশিষ্ট্য দেখা যায় ",দের মধ্যে । 
ক্ষমাশীল,রা,,।,রা,অধিক,।,রা,এগিয়ে।,হওয়ার ক্ষেত্রে,সমাজে আমাদের টিকে থাকতে হলে প্রায়ই,"হতে হয়, কিন্তু আমরা কি এমন আচরণ", ব্যতীত পেয়ে থাকি? ,সংসারে নানা রকমের ঝামেলা থাকবে তার মধ্যে থেকে নিজের বুদ্ধি খাটিয়ে সবকিছু কে মোকাবিলা করতে হবে। ,হতে হবে। জিদ নয় বুদ্ধি দিয়ে সংসার পরিচালনা করতে হবে। এই কাজ ভাল করতে পারে , রা । 
গতিশীল,রা,,।,রা,বেশি,।,দের,মধ্যে বেশি লক্ষ্যনীয়।,-তা ,,মানুষ নতুন কিছু শিখতে সর্বদা উদ্যত। আমরা এই বৈশিষ্ট্য কেবল ,দের মধ্যে দেখতে পাই। ,তবে লেখকের লেখনী আর কাহিনির বুনটে টানা পড়ে ফেলা যায় - পড়তে মজাও লাগে দারুণ। ,"গল্পের ফাঁকে ফাঁকে বেশ দক্ষভাবে হিউমারের প্রয়োগ করেছেন লেখক। সব মিলিয়ে সময় পার করার জন্য, পড়ে আনন্দ পাওয়ার জন্য এবং ফ্যান্টাসিপ্রেমীদের জন্যে দারুণ এক বই এটি। লেখক একজন", ।
চতুর,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি লক্ষ্যনীয়।,ভাব,,হল,রা যারা একটি সমস্যার জন্য একাধিক সমাধান বিবেচনা করতে পারে। তারা সমস্যার বিভিন্ন দিক থেকে চিন্তা করে সেই সমস্যার জন্য একটি সমাধান আবিষ্কার করতে পারে।,সে একজন ,"ব্যক্তি, যিনি সব সময় বিপদে পড়লে তা সমাধানের জন্য নতুন এবং উদ্ভাবনী চিন্তাভাবনা করেন। সে একজন", । 
চিত্তাকর্ষক,রা,,।,দের,ব্যবহার অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,উনার লেখায় একটি,"ব্যাপার আছে, মানুষকে ধরে রাখতে পারেন। উনি একজন", । ,"এই কার্যক্রমগুলো অনেক বেশি জনপ্রিয় ও চিত্তাকর্ষক হওয়ার পেছনে ছিল অনুষ্ঠান নির্মাণের সৃজনশীলতা ও দক্ষতার প্রয়োগ। চিত্তাকর্ষক পাণ্ডুলিপি, সুনিপুণ সম্পাদনা, সাবলীল ধারাবর্ণনা, দর্শকনন্দিত মিউজিক সন্নিবেশের মতো কাজগুলোতে তিনি মগ্ন থেকেছেন।",হয়,রা । 
জ্ঞানী,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,,দের জন্য আমার একটা দুর্বল জায়গা রয়েছে । ,"সেগুলো দিয়ে পৃথিবীকে ওলট-পালট করে ফেলা যায়। জ্ঞানী-গুণী মানুষেরা আজকাল সোজাসুজি বলতে শুরু করেছেন যে সবচেয়ে বেশি তথ্য-উপাত্ত ব্যবহার করতে পারবে, সে এখন এই পৃথিবী নিয়ন্ত্রণ করবে। ",হয়,রা । 
দক্ষ,রা,,।,রা,যেকোনো কাজে অধিক,।,দের,মধ্যে বেশি দেখা যায়।,-তা ,,-তার হিসাব করলে যেকোনো কাজে একটা বড় অংশ শুধু,দের দখলে থাকে ।,প্রতিষ্ঠানের স্বার্থে সংবিধিবদ্ধ ও আইনগত বাধা দূর করতে হবে। দক্ষ জনবলের চাহিদা পুরনে মাঠ ও কারখানা পর্যায়ে মানবসম্পদের উন্নয়ন ও প্রশিক্ষন প্রদান করা।,হয়,রা । 
দায়িত্বশীল,রা,,।,রা,কথায় ও কাজে,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,সে একজন ,কর্মচারীর। সে , ।,"সে একজন দায়িত্বশীল ব্যক্তি, যিনি সব কাজে দায়িত্বশীলভাবে নিজেকে সমর্থন করে এবং প্রতিটি চ্যালেঞ্জকে পরিস্থিতির উপরে উঠতের জন্য প্রস্তুত। তিনি সব কার্যে উচ্চ মর্যাদা এবং বুদ্ধিমত্তা নিয়ে কাজ করে, এবং সব সময় চেষ্টা করে নতুন উপায় বা সমাধান চিন্তা করার, যাতে সময়ের সাথে তার উভয় আত্মবিশ্বাস এবং সফলতা উন্নত হতে পারে।",হয়,রা । 
দুঃসাহসিক,রা,,।,রা,বেশি,হয় ।,রা,বেশি করে ।,কাজ,আমরা সাধারণত কিছু কাজকে ,"বলে থাকি, কারণ এখানে অনেক ঝুঁকি থাকে। ঝুঁকিপূর্ণ এসব কাজ ",রা বেশি করে থাকে। ,হলিউড-বলিউডের অ্যাকশন সিনেমায় মারাত্মক সব স্টান্ট দেখেছেন অনেকেই। দুঃসাহসিক কিছু স্টান্স থেকে শত্রুকে দমন সবকিছুই থাকে সেসব ছবিতে। যা দেখলে অনেকেরই হাত-পা ঠান্ডা হয়ে যায়।,হয়,রা । 
দূরদৃষ্টিসম্পন্ন,রা,,।,রা,অধিক,।,রা,এগিয়ে।,হওয়ার ক্ষেত্রে,আপনাকে যদি বলা হয়,কোন ,"কে এনে দিতে, আপনি কি পারবেন?","দূরদৃষ্টিসম্পন্ন মেয়র চান ভোটাররা দূরদৃষ্টিসম্পন্ন ও অসাম্প্রদায়িক মেয়র এবং কাউন্সিলর চান রাঙামাটির নানা শ্রেণি-পেশার ভোটার। এ ছাড়া কাপ্তাই হ্রদকে দূষণমুক্ত এবং হ্রদ ও সড়ক দখল বন্ধ করা, উন্নয়নে সমতা বিধান ও দরিদ্র মানুষের উন্নয়নে পদক্ষেপ গ্রহণ চান ভোটাররা। ",একজন, ।
দেশপ্রেমিক,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,,"মানুষ আজকাল দেখা যায় না, তবে যেই কয়েকজন আছে তারা ", ।,"দেশপ্রেমিক সকল রাজনৈতিক দল ও ব্যক্তির কাছেও আমার আবেদন, অর্থনৈতিক মুক্তি, সাম্রাজ্যবাদী প্রভাব-প্রতিরােধ, আইনের শাসন প্রতিষ্ঠা ও গণতন্ত্র প্রতিষ্ঠার সংগ্রামে আপনারা নিজের দায়িত্ব পালন করুন। অশ্রু ও রক্তের বিনিময়ে দেশবাসী প্রমাণ করেছে, বৃহত্তর মঙ্গলের জন্য কিভাবে তারা ক্ষুদ্র স্বার্থ বিসর্জন দিতে পারেন।",হয়,রা । 
ধৈর্যশীল,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,সে সবসময় ,হয়ে থাকে এবং সমস্যার সামনে সঠিক সিদ্ধান্ত নেওয়ার জন্য পর্যাপ্ত সময় নেওয়ার চেষ্টা করে। সে একজন, ।,"মানুষের প্রতিটা কষ্টের সঙ্গে সুখ মিশে আছে। ধৈর্যশীল মানুষ সেই সুখের অপেক্ষা করেন। তারা জানেন, জীবনে যত ঘোর আসুক না কেন, এক সময় তা কেটে যাবে।",হয়,রা । 
নম্র,রা,,।,রা,স্বভাবে,।,দের,মধ্যে বেশি লক্ষ্যনীয়।,ভাব,সে একজন,ব্যক্তি যিনি সাধারণত মিষ্টি স্বভাবের এবং সহজ মৃদুতা সম্পন্ন। সে একজন, । ,ওকে আমারো বেশ পছন্দ হয়েছিলো। ,",ভদ্র,শিক্ষিত,বড়দের সম্মান করে। জব খুজছিলো। তো আমি ভেবেছিলাম ওদের বিয়ের কথা পাকাপাকি হলে আমাদের ব্যবসাতেই কোন একটা কাজে লাগিয়ে দিবো। ও একজন", ।
নান্দনিক,রা,,।,রা,চিন্তায়,।,দের,মধ্যে বেশি লক্ষ্যনীয়।,চিন্তাভাবনা ,সুন্দরকে বুঝতে হলে ,"মন থাকা লাগে, যা কেবল",দের মধ্যে উপস্থিত ।,১৯৯০ সালের স্বৈরাচারবিরোধী গণ-আন্দোলনের চূড়ান্ত বিজয়ের সময়টাতে চট্টগ্রামে একদল উৎসাহী নাট্যকর্মী ঠিক করেন নতুন দল গড়বেন। নান্দনিক সৃষ্টি এবং নতুন ভাবনায় নিজেদের তুলে ধরার লক্ষ্যে সে বছরের ১৬ নভেম্বর যাত্রা করে নান্দীমুখ। ,হয়,রা । 
নিবেদিত,রা,,।,রা,সম্পর্কে অধিক,।,রা,সবার পছন্দের পাত্র ।,,প্রতিটি মানুষের উচিত দেশের প্রতি ,"হওয়া, কিন্তু দুর্ভাগ্য কেবল ",দের মধ্যেই তা দেখা যায় । ,"তিনি শুধুমাত্র সাহিত্য চর্চার মধ্যেই সীমাবদ্ধ ছিলেন না, আমাদের মহান মুক্তিযুদ্ধ ও জাতির ক্রান্তিকালে তার সাহসী ভূমিকা জাতি চিরদিন মনে রাখবে।",প্রাণ এই মহান লেখকের মৃত্যুতে জাহাঙ্গীরনগর বিশ্ববিদ্যালয় পরিবারও শোকার্ত। তিনি একজন, ।
নির্ভরযোগ্য,রা,,।,রা,অধিক,।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,আমার মতে তিনি একজন ,ব্যক্তি। তিনি, বলেই এমন আমার বিশ্বাস ।  ,উনি আমাদের এখানে অনেকদিন কাজ করেন। উনি খুবি,একজন ব্যাক্তি। এমন কখনো হয়নি যে তাকে আমরা কোন কাজ দিয়েছি কিন্তু সেটা তিনি নিষ্ঠার সাথে পালন করেননি। উনি একজন, ।
নিঃস্বার্থ,রা,,।,রা,,ভাবে অন্যের উপকার করে।,দের,মধ্যে বেশি ।,হওয়ার প্রবণতা,সে সবসময় ,কাজ করে থাকে এবং সবার কথা চিন্তা করে। সে একজন, ।,"কর্মস্থলে ফিরে দেখলেন, অসংখ্য ফুল, একটি কেক আর লোকজনের শুভেচ্ছাবার্তা।",ত্যাগের জন্য সবাই তাঁকে সম্মান দিচ্ছে।  নিঃস্বার্থ ভালবাসা পেয়ে ডাক্তার রা ধন্য হয় । আরও আরও রোগীর জন্য কাজ করে চলে । ডাক্তাররা ,হয় । 
নৈতিকতাবাদী,রা,,।,দের,মধ্যে  ,মনোভাব বেশী ।,দের,মধ্যে বেশি দেখা যায়।,চিন্তাভাবনা,,মানুষ আদর্শের সাথে আপস করে না। আমার অভিজ্ঞতায় তারা সবাই, ।,সমাজে শ্রদ্ধার পাত্র হতে গেলে এবং একই সাথে  জীবনের সুখী হওয়ার জন্য নৈতিকতাবাদী হওয়া প্রয়োজন। নৈতিকতা বিবর্জিত মানুষ  কখনো প্রকৃত সুখ লাভ করতে পারে না।,হয়,রা । 
